-15	-24
-24	-34
-21	-31
-21	-30
-18	-27
-32	-41
-32	-41
-25	-34
-15	-24
-5	-13
-3	-12
-1	-9
5	-3
19	11
32	25
35	28
22	14
0	-7
-23	-31
-50	-58
-49	-57
-34	-42
-4	-11
1	-6
3	-4
-7	-15
-4	-11
-14	-21
-3	-10
0	-6
8	3
-7	-12
-19	-24
-30	-35
-24	-29
-29	-33
-36	-40
-44	-48
-43	-47
-33	-37
-26	-30
-23	-27
-25	-29
-45	-50
-56	-61
-62	-67
-52	-57
-44	-49
-41	-47
-42	-47
-38	-44
-30	-36
-21	-26
-3	-7
8	5
25	23
20	19
22	20
18	16
8	6
11	8
7	3
14	10
11	6
7	0
9	2
8	0
13	4
12	3
4	-4
8	0
10	1
19	11
19	11
29	20
38	28
57	48
64	55
72	62
72	62
70	59
71	59
72	60
77	64
65	52
49	36
36	23
34	22
36	24
32	22
29	19
27	17
24	15
19	10
9	1
2	-4
3	-3
0	-6
0	-5
-9	-15
-1	-6
6	2
21	18
26	23
27	25
25	24
11	9
-11	-13
-40	-42
-59	-61
-75	-76
-75	-75
-76	-76
-71	-71
-67	-66
-60	-58
-45	-42
-45	-41
-44	-39
-49	-43
-46	-39
-36	-28
-34	-23
-37	-26
-45	-33
-42	-30
-42	-29
-33	-20
-40	-27
-37	-25
-54	-42
-62	-49
-63	-50
-49	-36
-33	-20
-21	-8
-13	0
-5	8
6	20
12	28
16	32
14	30
13	29
10	27
-1	15
-17	0
-31	-14
-31	-14
-24	-7
-20	-3
-14	3
-3	14
10	29
17	37
21	41
20	40
18	37
12	32
10	29
6	26
1	20
-1	18
4	23
6	25
12	32
22	42
41	61
58	77
68	87
77	96
83	101
87	105
83	100
69	86
53	69
41	57
29	45
21	38
15	31
23	39
35	52
37	54
29	46
23	41
26	44
40	58
38	56
37	55
35	52
51	68
56	72
44	58
32	46
26	39
28	40
4	15
-8	2
-13	-2
-1	8
4	14
8	18
18	28
29	38
29	37
16	24
11	18
4	10
0	5
-15	-10
-28	-23
-39	-34
-41	-37
-44	-40
-56	-53
-70	-67
-70	-68
-61	-60
-57	-56
-56	-56
-53	-54
-49	-52
-40	-44
-35	-40
-27	-33
-17	-23
10	3
18	11
10	2
-3	-12
-11	-22
0	-11
-1	-14
9	-4
8	-7
17	0
17	0
23	3
6	-15
0	-23
-16	-42
-15	-42
-22	-50
-11	-39
-3	-31
3	-25
-1	-31
-5	-35
-2	-32
-8	-36
-18	-46
-15	-42
-6	-33
8	-18
9	-17
13	-13
16	-10
20	-6
21	-5
23	-3
14	-12
5	-21
-4	-30
-3	-28
-3	-27
-9	-32
-17	-38
-22	-41
-23	-41
-24	-40
-13	-28
-2	-16
6	-7
2	-10
0	-13
1	-12
-4	-17
-7	-19
-12	-25
-23	-36
-42	-55
-55	-67
-58	-69
-61	-71
-71	-80
-82	-91
-85	-93
-87	-94
-84	-90
-80	-85
-66	-70
-40	-44
-20	-23
-10	-12
-2	-3
4	4
16	17
24	26
42	45
51	55
49	55
41	47
36	44
28	37
19	29
16	26
20	31
17	28
11	24
0	13
5	19
9	23
35	50
53	69
53	70
41	58
41	59
54	72
47	65
30	49
7	26
0	18
-19	0
-22	-3
-19	0
-12	6
-10	8
-13	4
-18	0
-27	-9
-22	-4
-5	13
18	38
21	42
19	40
21	43
22	45
22	46
16	40
11	36
7	32
-1	23
-3	20
-5	19
0	24
8	33
9	32
19	42
34	56
66	88
71	91
68	87
55	74
61	79
57	74
48	64
30	44
27	40
31	43
32	44
33	44
37	47
48	57
40	48
27	34
10	15
14	19
