-139	3315	-101
-160	3308	-115
-183	3299	-131
-200	3288	-143
-201	3276	-147
-211	3264	-156
-208	3254	-158
-196	3241	-155
-191	3232	-156
-185	3225	-156
-179	3220	-156
-168	3215	-153
-160	3209	-152
-165	3201	-157
-167	3192	-160
-161	3181	-160
-166	3172	-165
-167	3159	-168
-168	3148	-170
-164	3139	-171
-162	3132	-172
-156	3124	-171
-134	3117	-161
-122	3109	-156
-109	3101	-150
-107	3091	-150
-101	3084	-148
-93	3073	-145
-89	3064	-144
-87	3055	-143
-77	3048	-139
-69	3041	-135
-62	3033	-131
-44	3026	-122
-23	3019	-110
-7	3011	-102
0	3004	-97
7	2994	-93
16	2986	-87
29	2977	-79
39	2968	-73
53	2960	-64
57	2952	-60
69	2947	-52
69	2941	-50
83	2935	-41
91	2934	-35
87	2926	-35
80	2919	-37
84	2910	-32
83	2902	-31
69	2893	-36
56	2885	-42
39	2878	-49
28	2873	-53
15	2868	-59
21	2866	-55
27	2860	-51
27	2854	-49
30	2847	-47
36	2840	-42
27	2832	-46
17	2824	-50
1	2816	-58
-14	2810	-65
-30	2803	-73
-34	2800	-75
-42	2794	-79
-43	2790	-79
-41	2785	-78
-51	2779	-83
-53	2772	-84
-64	2765	-90
-68	2757	-92
-75	2748	-96
-73	2739	-95
-86	2736	-103
-85	2732	-103
-85	2728	-103
-84	2725	-103
-77	2722	-99
-83	2716	-103
-83	2711	-103
-88	2704	-106
-86	2697	-105
-83	2689	-104
-80	2683	-103
-80	2677	-103
-83	2673	-105
-88	2670	-108
-103	2667	-116
-105	2663	-117
-106	2658	-118
-104	2652	-117
-113	2646	-123
-113	2639	-123
-110	2632	-122
-116	2624	-125
-114	2619	-125
-125	2615	-131
-119	2611	-128
-123	2608	-131
-125	2604	-133
-126	2600	-134
-128	2594	-135
-129	2588	-136
-122	2583	-133
-126	2576	-135
-125	2570	-135
-129	2564	-138
-126	2560	-137
-123	2557	-135
-119	2554	-134
-107	2552	-128
-102	2549	-125
-101	2543	-124
-97	2540	-122
-93	2534	-120
-96	2528	-122
-99	2522	-123
-97	2516	-122
-86	2512	-116
-78	2509	-112
-66	2506	-105
-49	2504	-95
-45	2500	-93
-38	2497	-88
-31	2492	-84
-27	2486	-81
-27	2481	-80
-22	2475	-76
-14	2470	-71
-7	2466	-66
-2	2463	-62
13	2461	-53
24	2458	-46
30	2457	-41
32	2452	-39
28	2448	-39
20	2443	-42
17	2438	-42
8	2433	-45
7	2429	-45
9	2426	-42
10	2423	-40
9	2420	-39
2	2419	-42
4	2414	-40
6	2411	-37
-6	2407	-42
-15	2403	-46
-14	2399	-44
-24	2395	-49
-25	2391	-48
-22	2389	-46
-22	2386	-45
-19	2385	-43
-10	2384	-37
-11	2383	-37
-12	2380	-36
-13	2378	-36
-7	2374	-32
1	2371	-26
-2	2367	-27
6	2363	-22
15	2359	-16
18	2360	-13
23	2359	-10
34	2358	-3
44	2357	3
49	2356	7
55	2353	12
64	2350	18
73	2347	24
75	2344	27
78	2340	30
79	2338	32
82	2338	36
75	2337	34
65	2336	30
64	2335	31
65	2334	33
65	2332	34
63	2330	35
59	2328	34
57	2326	35
56	2323	35
44	2321	30
45	2321	32
42	2320	32
33	2320	28
27	2319	26
22	2318	24
28	2317	28
16	2315	23
5	2313	18
-8	2310	12
-24	2308	4
-49	2306	-8
-67	2305	-17
-76	2305	-22
-90	2305	-30
-95	2304	-33
-107	2304	-39
-115	2303	-44
-115	2302	-45
-125	2300	-50
-139	2299	-58
-152	2296	-66
-165	2294	-74
-179	2292	-82
-185	2292	-87
-196	2292	-94
-209	2291	-102
-229	2290	-114
-238	2290	-120
-256	2289	-131
-272	2287	-141
-297	2286	-157
-303	2284	-162
-305	2282	-165
-313	2280	-172
-303	2280	-169
-297	2280	-167
-282	2280	-162
-277	2280	-161
-266	2281	-157
-258	2280	-154
-255	2279	-154
-254	2278	-155
-235	2277	-147
-220	2275	-140
-214	2275	-138
-194	2274	-128
-170	2274	-116
-143	2274	-103
-135	2275	-99
-111	2275	-86
-85	2274	-73
-70	2274	-64
-50	2273	-53
-32	2272	-43
-14	2270	-33
-6	2269	-27
13	2268	-16
27	2267	-7
26	2268	-6
26	2267	-5
29	2267	-2
39	2265	4
